Names,mmr_rates_1995,mmr_rates_1996,mmr_rates_1997,mmr_rates_1998,mmr_rates_1999,mmr_rates_2000,mmr_rates_2001,mmr_rates_2002,mmr_rates_2003,mmr_rates_2004,mmr_rates_2005,mmr_rates_2006,mmr_rates_2007,mmr_rates_2008,mmr_rates_2009,mmr_rates_2010,mmr_rates_2011,mmr_rates_2012,mmr_rates_2013,mmr_rates_2014,mmr_rates_2015,mmr_rates_2016,mmr_rates_2017
Alabama,88.9,90.1,93.7,95.1,89.3,86.8,94.3,91.6,91.2,91.8,94.1,94,95,93.6,95.4,95.4,94,93.1,89.7,92,95.2,91.1,92.3
Alaska,89.9,83.7,86.8,89.7,90.9,87.9,87.8,88.7,90.7,89.7,90.8,85.7,89.7,88.4,85.2,88.4,90.8,86.2,90.5,90.2,89.7,85.6,89.3
Arizona,82.7,85.2,88,87.7,87.1,88.1,88.8,88.9,91.5,92.9,88.8,87.7,89,92.2,90.8,87.7,86.7,88.3,91.4,84.1,90.6,87.7,91.7
Arkansas,90.8,85.3,92.2,87.6,85.1,88,89.1,92.8,90.6,94.6,89,85.8,92.5,92.2,81.8,90.5,93.7,92.3,88.3,89.1,90.2,92.1,92.6
California,90.2,90.5,88.4,91,91.8,89.4,90.8,90.4,92.8,93.1,91.6,92.8,94.6,92.7,89.8,91.4,91,91.5,90.7,90.5,92.8,89.3,92.9
Colorado,88.8,88.6,93.3,92.7,89.6,86.4,91.3,90.7,85.6,90.8,93.2,88.3,91.2,92.3,83.6,89.3,88.4,91.5,86,87.4,93.6,88.9,87.2
Connecticut,94,96.5,93,96.1,94.5,96.1,93.8,95.3,98.4,95,95.2,96.5,95.3,95.3,93.7,97.8,95,94.8,91.4,93.2,97.5,94.5,94.6
Delaware,85.8,90.2,91.2,94.2,94.1,90.1,93.4,95.2,93,94.5,95.2,96.4,94.8,93.1,90.2,94,90.6,94.4,94.8,90.8,97.2,93.8,92.9
District of Columbia,89.2,92.3,89.4,92.2,91.1,85.1,92.6,91.2,92.8,94.6,91.6,92.2,95.2,89.7,91.2,94.7,93.5,93,96.2,90.9,92.4,93.7,94.1
Florida,90.5,89.8,90.1,92.1,92.2,89,91.1,91.1,95.2,95.4,92,91.2,92.3,91.7,91.2,94.1,90.8,91,93.4,91.2,90.4,91.1,91.9
Georgia,91.5,91.2,91.2,91.6,92.3,90.9,91,93,90.7,91.9,92.9,91,91.4,92.7,91.3,91.5,94.1,91.9,93.9,94.2,90.5,93.2,90.7
Hawaii,93.7,92.4,90.7,93.7,93.8,93.7,90.8,96.4,93.6,94.7,89.7,89.9,93.8,94.8,86.7,93.2,94.2,95,92.8,92.5,94.7,91.8,90.5
Idaho,87.7,83,87.5,89.5,85.9,87.5,87.1,86.9,92.9,91.7,86.5,88,86.1,86.1,88.1,87.2,89.5,93.3,91.1,89.7,91.2,88.6,92.2
Illinois,90.7,89.4,88.7,91.4,91.8,91.4,89.3,94.4,93.6,95,93,89.2,93.1,91,88.2,90.5,90.8,91.6,91.4,93.2,91.6,94.4,91.9
Indiana,88.1,85.5,88.5,92.5,89.2,86.4,91.3,91.1,92.5,91.5,91.2,89.6,90.4,88,86.6,92.3,90.6,90,92,91.5,92,93,87
Iowa,91.2,91.6,89.5,91.5,90.5,91.8,89.5,92.3,91.1,92.9,91.7,90.3,93,91.4,93.2,93.8,86.7,93.3,94.5,91.1,95.5,96.2,91.5
Kansas,86.5,86.1,93.9,90.9,89.5,84.7,91.8,93.9,89.4,92.3,92.7,92.7,93.1,91.9,92.5,90,91,88.5,89.4,93.4,92.3,92.3,89.8
Kentucky,88.7,91.6,89.1,91.4,93.6,88.1,91.5,88,95.5,91,90.2,92.5,90.8,90.2,88.9,89.5,91.4,89.2,89.5,88.6,91.6,92.5,92.7
Louisiana,88.4,88.3,88,88,88.1,88.8,83.5,87.4,88.4,88.7,89.2,88.9,92.9,94.2,94.4,89.7,92.6,90.5,88.1,91.8,92.6,91.2,91.3
Maine,98.2,95.2,94.8,93.3,91.2,93.3,93.2,92.3,94.1,91.7,92.2,92.2,90.2,91.8,91.4,90.9,90.3,91.2,91,97.2,96,91.6,93.7
Maryland,92.4,91.3,95,89.1,95.7,91.6,92.8,95.4,93.7,94.8,93.6,96.3,97.1,94.5,89.7,90.5,95.2,92.5,95.3,94.9,95.4,93.2,92.4
Massachusetts,93.9,97.1,95.8,95.7,93.7,95.2,91.7,95.5,97.7,96,97,96.6,93.3,94.4,93.7,92.3,93.1,93.7,95.8,94.7,91.8,98.6,98.3
Michigan,85.9,89.6,89.1,90,88.4,89,87.6,93.3,92.5,91.8,93.7,92.2,89.5,88.1,90.9,91.1,87.6,91.4,89.2,87.4,90.6,86.4,92.2
Minnesota,91.3,95.5,91.5,91.5,94.7,92.6,91.3,92.2,92.6,91.7,91.4,92.3,94.9,91.8,93.6,92.7,96,90.1,90.8,94.3,92.6,92,94.3
Mississippi,89.5,93,90.6,92.9,93.2,91,93.5,91.1,94.7,94.4,91,88.5,87.2,89.3,91.6,93.8,89.6,93.4,95.2,95,89.8,90.8,91.8
Missouri,91.2,87,90.2,91.8,87.5,92.3,90,94.8,94.5,93.8,90.3,95.7,89,91.7,88.8,90.4,88.2,92.7,89.8,90.3,91.6,92.9,85.8
Montana,88.1,87.1,86.7,90.6,91.6,87.4,94.1,85.3,90.7,91.2,93.6,87.3,89.6,85.9,87.2,85.1,87.8,91.5,87.3,93.4,91.7,86,92.3
Nebraska,90,90.9,89.1,90.2,91,91.4,90.9,93.2,91,92.7,94.8,91.4,94,91.9,93.6,94.2,95.3,89,92.5,96,95.6,93.7,93.7
Nevada,85.7,82.2,87.9,91,89.3,87.3,86.9,89.4,89.2,87.4,85.7,85.1,86.3,88,86.3,87,90.5,89.8,90.4,90.4,93.7,90.5,92.4
New Hampshire,95.8,93.4,95.2,94.5,91.6,95,92.9,93.9,94.6,93.5,88.3,92.9,96.6,94.8,92,95.8,92,93.7,96.3,93.1,93.4,95.9,94.1
New Jersey,90.1,91.2,93.6,95.2,94.1,88.2,91,92.8,93.5,94.6,85.3,91.2,91.2,89.9,86.9,86.1,91.3,94.8,95.6,93.3,92.8,92.4,89
New Mexico,86.6,88.9,83.7,85,86.9,81.4,87.1,92.5,93.9,89.9,91.2,89.1,90.6,90.6,89.1,88.8,93.1,88.8,89.1,94.6,89.7,91.2,89.3
New York,91.5,94.9,92.6,94.7,95.1,93.8,92.3,94.4,95.1,95.5,92.9,95.9,93.6,92.2,90.3,89.3,91,90.2,95.5,93.1,92.5,94.2,92.5
North Carolina,91.7,89.1,94.2,95.6,93.1,95.6,96,94.9,95.7,95.6,94.4,97.6,96.9,92.2,92.9,94.5,92.3,89,96,94.3,94.3,93.3,92.2
North Dakota,90.4,89.2,90.7,87.5,91.2,91.5,92.3,90.7,90.9,92.6,92.3,91.7,95.2,90.6,94.4,92.6,95.8,90.6,91.4,94.9,92.8,89.2,95.7
Ohio,89.1,92.9,88.5,91.3,89.4,89.2,91.6,91.3,95.6,93.1,93.1,93.5,90.7,93.9,89.4,93.6,93.3,90.3,86,95.6,88.1,87.4,88.3
Oklahoma,86.6,87.6,87.4,93.7,89.8,89.3,92.9,86.4,88,90.6,89.8,94.1,89.9,92.3,94.2,91,94,90,89.8,92,92.6,89.7,91.7
Oregon,87.6,85.3,87.4,88.6,85.6,90.3,88.4,86.6,92.4,93.7,82.7,88.7,88.9,92,88.1,92.8,90.6,87.3,89.4,85.1,94.1,86.7,90.3
Pennsylvania,92.4,91.1,91.8,94.4,93.9,92,95.3,92.2,94.1,95,93.6,94,93.8,92.2,89.3,92.3,92.8,87,93.3,92,90.9,93,91.7
Rhode Island,95.9,95.9,95.8,96.5,95.5,93.2,95.2,96,93.6,95.6,95.2,96.1,94.7,93.7,90.8,95.8,96.6,94.3,95.6,94.6,94.5,95.4,95.3
South Carolina,89,94.3,90.5,94.1,92.4,92.7,95.4,92.6,91.6,92,87.3,93.9,92.5,88.5,86.9,91.7,89.3,93.2,89.2,90.8,88.5,93.5,88
South Dakota,88.3,92.5,90.3,90.2,91.9,90.9,93,95.5,91.3,93.7,94.4,94.3,95,93.7,92.8,92.1,89.2,93.3,93.1,94.1,91.4,93.6,89.9
Tennessee,88.4,89.7,90.2,93,89.4,90.8,94.2,92.5,94.6,91.3,92,93,94.5,95.6,94.7,93.9,91.1,92.2,92.3,95.8,90.2,86.2,92.3
Texas,88,88.2,87.6,89.6,86.6,86.2,90.1,87.7,91.4,89.2,89.1,92.1,90.4,93.7,88.5,91.8,94.3,89.7,92.7,90.4,92.5,89.8,90.3
Utah,84.8,84.6,86,89.9,91.6,87.7,89.2,94,88.6,89.8,89,92.4,90.9,90.8,91.3,85.5,88.8,87.3,92.6,85.3,89.2,88.6,88.7
Vermont,95.8,93,95,96.1,98.6,92.3,95.2,94.7,96.4,94.4,92.6,95.1,93.6,88.1,91.9,92.7,95.3,91.7,91.2,93.2,95.5,95.2,93.7
Virginia,83.4,88.1,89.3,89.7,87.1,91,90.7,90.3,92.9,96.6,93.3,93.6,90.9,92.3,85.8,92.3,89,94.3,88.6,91.5,83.4,90.4,97.6
Washington,89.2,91,90.9,89.2,89.1,89.3,87.8,89.6,93.5,92.3,90.6,87.5,90.5,91.2,90.8,89.8,89.3,84.8,93.5,86.3,95.3,91.1,88.5
West Virginia,90.5,87.4,91.4,92.6,93.5,92.6,93.4,93.6,88.7,94.6,85.7,91.1,96.2,88.3,89.2,92,85.8,84.6,86,88.9,86.7,89.6,89.9
Wisconsin,92.1,89.8,91.3,91.7,94.1,91.3,91.4,92.9,94.2,93.6,91.6,94,91.4,94.3,94.4,93.2,94.9,89.3,93.2,93.2,92.4,90.6,89.9
Wyoming,91.9,86.9,83.5,89.5,92.9,89.8,89,89.7,90.8,92.7,89.4,87.7,87.5,87.6,91.3,92.5,85.6,91.2,89,90.4,93.5,88.8,89.1
,,,,,,,,,,,,,,,,,,,,,,,
,mmr_rates_2013,mmr_rates_2012,mmr_rates_2011,mmr_rates_2010,mmr_rates_2009,mmr_rates_2008,,,,,,,,,,,,,,,,,
