#State	MMR_rate
#US National	91.9±0.9
Alabama	89.7±5.8
Alaska	90.5±3.6
Arizona	91.4±3.7
Arkansas	88.3±5.9
California	90.7±5.3
Colorado	86.0±5.5
Connecticut	91.4±5.4
Delaware	94.8±3.4
Dist. of Columbia	96.2±3.1
Florida	93.4±4.0
Georgia	93.9±4.1
Hawaii	92.8±3.8
Idaho	91.1±4.3
Illinois	91.4±3.1
Indiana	92.0±3.6
Iowa	94.5±3.9
Kansas	89.4±4.7
Kentucky	89.5±5.1
Louisiana	88.1±5.1
Maine	91.0±4.5
Maryland	95.3±4.4
Massachusetts	95.8±3.6
Michigan	89.2±5.1
Minnesota	90.8±5.5
Mississippi	95.2±3.0
Missouri	89.8±5.3
Montana	87.3±5.2
Nebraska	92.5±4.1
Nevada	90.4±3.5
New Hampshire	96.3±2.6
New Jersey	95.6±3.3
New Mexico	89.1±4.6
New York	95.5±2.3
North Carolina	96.0±3.3
North Dakota	91.4±3.8
Ohio	86.0±5.2
Oklahoma	89.8±3.8
Oregon	89.4±4.4
Pennsylvania	93.3±3.2
Rhode Island	95.6±3.3
South Carolina	89.2±5.3
South Dakota	93.1±4.4
Tennessee	92.3±4.4
Texas	92.7±2.8
Utah	92.6±3.6
Vermont	91.2±4.0
Virginia	88.6±7.0
Washington	93.5±3.9
West Virginia	86.0±5.8
Wisconsin	93.2±4.2
Wyoming	89.0±5.4

